web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image
"1776069304-11","https://www.kikidrop.com/en/list","CAMELLIA POWDERS","Djibouti","35 mins","11.88 Km","08:30 -  12:30","4.3","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-96mrfp6ud38rBE1731413858046-Camelia201.jpg"
"1776069304-12","https://www.kikidrop.com/en/list","RAHO KHAT","Cité gachamaleh","35 mins","11.89 Km","09:00 -  23:59","4.7","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-8akpk4sn8a8pCJ1725948205409-Raho.jpg"
"1776069304-13","https://www.kikidrop.com/en/list","RUCHES DE DOAAN POUR LE MIEL YÉMÉNITE ET LA PARFUMERIE","Bawadi Mall, Djibouti","35 mins","11.96 Km","10:00 -  22:00","5.0","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-5gtmzyb64gc6681725794500298-RucheDoan.jpg"
"1776069304-14","https://www.kikidrop.com/en/list","BARBECUE HOUSE","Bawadi Mall","37 mins","11.97 Km","09:00 -  22:00","3.0","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-3kma36atumMB471706077737550-WhatsApp20Image202024012420at2009.28.30.jpeg"
"1776069304-15","https://www.kikidrop.com/en/list","KATKOUT","-","50 mins","12.02 Km","11:00 -  22:00","4.7","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-aUo71587841750828-PeachpuffBrushStrokePhotographyLogo.jpg"
"1776069304-16","https://www.kikidrop.com/en/list","Chicking","Djibouti Bawadi mall Food court","45 mins","12.02 Km","00:01 -  23:59","4.1","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-9b779qtof9xcjz1592926244703-Maincover.jpg"
"1776069304-17","https://www.kikidrop.com/en/list","ALBERTOS","BAWADI MALL","45 mins","12.02 Km","10:00 -  21:00","4.5","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-je266hceRbvkRs1589413755659-Albertos.jpg"
"1776069304-18","https://www.kikidrop.com/en/list","PIZZA HUT - MALL","BAWADI MALL","40 mins","12.02 Km","00:01 -  23:59","4.4","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-cec30hic3a7V7Q1643102993867-LOGO.png"
"1776069304-19","https://www.kikidrop.com/en/list","Cold Stone Creamery mall","BAWADI MALL","40 mins","12.02 Km","09:00 -  22:30","4.5","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-g5xpweobHhC0H51640003397689-ColdStone5B194825D.jpg"
"1776069304-20","https://www.kikidrop.com/en/list","Burger King Bawadi Mall","Bawadi Mall","45 mins","12.02 Km","10:30 -  22:30","3.4","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-jsr76o58O5ZdSa1675163563297-BurgerKing5B205575D.jpg"
"1776069304-21","https://www.kikidrop.com/en/list","Bawadi Bakery","Bawadi mall","40 mins","12.02 Km","07:00 -  23:30","4.3","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-1r3xdyt2adfd6a1733037150630-7079394806a84d2883affd7d00be4eb9.jpg"
"1776069304-22","https://www.kikidrop.com/en/list","Pâtisserie d'ambouli","Ambouli","50 mins","12.02 Km","08:00 -  23:59","4.2","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-f6ie1188N1QAWb1746092235666-WhatsApp20Image202025050120at2012.35.05.avif"
"1776069304-23","https://www.kikidrop.com/en/list","+253 TACOS","Nelson mandela","45 mins","12.38 Km","11:00 -  23:59","4.5","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-hit352m5l5mooT1761942540276-IMG20250603WA0013.avif"
"1776069304-24","https://www.kikidrop.com/en/list","Jano café & restaurant","26 av Rue de Guelleh batal","55 mins","12.41 Km","08:00 -  15:00","","","","https://d2sz1kgdtrlf1n.cloudfront.net/yelo_products/thumb-250-250-e0nydqbpOjWB6l1773127199090-JH.avif"
